Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
HR,2020,5153.0,8.716,854424,61.3,8441.0,7715.0,1.48,50946.6,11.2,132.95,72.5,8874.0,8133.0,15196.0,30.447,4047260,78.5,2078970,1968290,13.4,9.0,103.06083333333332,28.7,26.2,45.8,27.5,31.1,51.76517958333,442294
HR,2021,5100.0,8.544,842389,62.9,8668.0,7859.0,1.58,58897.9,10.5,144.99,73.4,9055.0,8384.0,18203.0,30.445,3949330,78.5,2035719,1913612,15.6,11.5,105.72727272727272,,23.4,,,31.8,51.4176269400743,433136
HR,2022,4808.0,8.415,832028,65.0,9368.0,8452.0,1.53,68369.7,9.5,170.11,74.5,9925.0,9135.0,18074.0,30.581,3856600,78.6,1994520,1862080,14.0,10.2,117.1075,,29.3,45.6,25.5,32.5,51.1279517642937,425398
CZ,2009,29133.0,11.326,2516963,61.4,8155.0,7152.0,1.51,149586.5,18.8,95.2,80.2,8641.0,7683.0,47862.0,29.421,10443936,88.4,5317514,5126422,6.7,6.7,91.53333333333336,,13.3,22.5,18.1,17.9,51.47807725056,1295684
CZ,2010,30783.0,11.145,2511993,60.9,7881.0,6987.0,1.51,157920.8,18.7,95.2,79.6,8342.0,7379.0,46746.0,29.57,10474410,88.5,5332711,5141699,7.2,7.2,92.63333333333333,,12.2,25.4,20.1,20.7,51.193069134718,1285966
CZ,2011,28113.0,10.396,2501046,61.7,8312.0,7336.0,1.43,165202.2,18.2,94.4,79.9,8803.0,7802.0,45137.0,29.679,10496088,88.6,5343368,5152721,7.4,7.9,94.63333333333333,28.1,15.9,,,21.3,50.961256400759,1274564
CZ,2012,26402.0,10.318,2485473,62.5,8605.0,7619.0,1.45,162587.5,17.7,93.7,80.2,9178.0,8178.0,45206.0,29.728,10510785,88.6,5349506,5161280,8.1,7.9,97.975,28.3,16.4,32.8,23.2,20.3,51.0407360173858,1268603
CZ,2013,27895.0,10.167,2462956,63.8,8518.0,7524.0,1.46,159461.5,17.2,93.8,81.0,9092.0,8050.0,43499.0,29.829,10514272,88.7,5350908,5163365,7.7,8.3,99.34166666666664,28.5,11.3,34.2,24.5,18.9,51.0838465131583,1258172
CZ,2014,26764.0,10.413,2434351,64.7,8380.0,7429.0,1.53,157821.3,17.5,97.3,82.2,8992.0,7946.0,45575.0,29.912,10525347,88.6,5355694,5169654,8.1,7.6,99.75,28.7,3.5,,,19.2,51.0746569131267,1243336
CZ,2015,26083.0,10.467,2407082,66.4,8165.0,7214.0,1.57,169558.2,16.6,101.7,83.0,8659.0,7727.0,48191.0,29.964,10546059,88.7,5364431,5181629,8.1,7.2,100.00833333333333,28.8,10.4,38.1,24.3,19.6,50.956967292008,1226575
CZ,2016,24996.0,10.595,2383542,68.6,8580.0,7616.0,1.63,177438.5,16.0,112.8,84.6,9187.0,8248.0,50768.0,29.956,10566332,88.6,5372823,5193509,8.7,9.0,100.65833333333336,29.0,10.1,39.0,26.5,20.3,50.8088014832832,1211049
CZ,2017,25755.0,10.7,2362858,70.5,9026.0,8058.0,1.69,194132.9,15.8,122.3,86.3,9674.0,8622.0,52567.0,29.978,10594438,88.6,5384199,5210239,9.0,9.1,103.1,29.1,14.5,40.5,27.5,21.4,50.6074782533565,1195782
